,calls,clauses,epochs,ind_vars,models,samples,time,time*,tu/tq,ug_samples,valid,vars
blasted_case68,2266.0,553.0,83.0,28.0,131072,2001076.0,9.3,19.7,276.505692469,1395603.0,0.758,178.0
blasted_case19,38.0,1126.0,0.0,69.0,73786976294838206464,2007328.0,3.2,95.9,0.0,0.0,0.993,397.0
blasted_case_0_b12_2,43.0,2725.0,0.0,45.0,274877906944,2007328.0,3.2,224.2,50817.845778,21978.0,0.938,827.0
blasted_TR_b14_2_linear,53.0,4963.0,0.0,204.0,,2338540.0,5.6,473.9,0.0,0.0,0.98,1570.0
blasted_case56,726.0,722.0,32.0,23.0,1048576,2007615.0,4.3,42.6,1592.79860684,521972.0,0.831,202.0
blasted_case130,66.0,2056.0,0.0,96.0,562949953421312,2157706.0,4.7,205.7,0.0,0.0,0.818,644.0
blasted_case37,43.0,3159.0,0.0,169.0,,2007328.0,4.5,288.3,0.0,0.0,1.0,1084.0
blasted_case57,94.0,1158.0,2.0,32.0,536870912,2022764.0,3.1,94.1,64426.4057524,18271.0,0.916,288.0
blasted_squaring4,123.0,2839.0,1.0,72.0,68719476736,2024203.0,5.8,279.6,66915.1887756,9317.0,0.86,891.0
blasted_TR_b12_even2_linear,0.0,28088.0,0.0,443.0,,1.0,,,,0.0,0.0,8633.0
blasted_case114,213.0,1851.0,7.0,28.0,33554432,2003636.0,5.6,177.6,14054.3533086,45705.0,0.887,428.0
blasted_case207,36.0,2128.0,0.0,165.0,5846006549323611672814739330865132078623730171904,2007328.0,4.2,163.5,0.0,0.0,1.0,824.0
blasted_squaring25,387.0,2947.0,6.0,61.0,28311561,2007490.0,13.9,347.3,15379.9586053,16852.0,0.619,846.0
blasted_case64,3349.0,285.0,185.0,19.0,35328,2000821.0,9.4,11.4,62.0115696313,2000009.0,0.625,93.0
blasted_case59_1,3205.0,285.0,177.0,19.0,35328,2001316.0,9.1,11.0,64.2941925369,2000009.0,0.63,93.0
blasted_case26,27338.0,148.0,2278.0,13.0,1024,2000085.0,39.5,39.7,6.09028686268,2000009.0,0.798,53.0
blasted_case_1_ptb_1,36.0,3035.0,0.0,80.0,,2007328.0,3.4,214.3,0.0,0.0,1.0,966.0
blasted_squaring8,71.0,3642.0,0.0,72.0,274408144896,2227192.0,4.2,352.7,113385.645942,7590.0,0.967,1101.0
blasted_case213,36.0,1891.0,0.0,80.0,151115727451828646838272,2007328.0,3.4,129.6,0.0,0.0,0.977,648.0
blasted_case_3_b14_1,39.0,681.0,0.0,45.0,4398046511104,2168731.0,3.0,59.6,32158.7340175,37345.0,0.978,238.0
blasted_case32,27276.0,146.0,2272.0,13.0,1024,2000069.0,40.9,41.1,5.92959655782,2000009.0,0.778,52.0
blasted_TR_ptb_2_linear,57.0,12774.0,0.0,197.0,,2286113.0,7.4,1012.4,0.0,0.0,0.982,3857.0
blasted_case49,42.0,6505.0,0.0,67.0,2305843009213693952,2007328.0,3.9,421.7,0.0,0.0,0.938,1510.0
blasted_case_0_b14_1,38.0,3000.0,0.0,97.0,604462909807314587353088,2007328.0,3.6,215.7,0.0,0.0,1.0,812.0
blasted_case202,38.0,544.0,0.0,45.0,4398046511104,2007328.0,3.1,52.3,36471.8674441,32010.0,0.912,200.0
blasted_case_2_b14_even,36.0,4057.0,0.0,121.0,,2007328.0,3.9,333.5,0.0,0.0,1.0,1304.0
blasted_case_1_b12_2,40.0,2725.0,0.0,45.0,274877906944,2087112.0,3.7,248.3,44072.48188,21802.0,0.844,827.0
blasted_case15,37.0,774.0,0.0,83.0,36893488147419103232,2007328.0,3.3,66.7,0.0,0.0,1.0,296.0
blasted_case138,39.0,2253.0,0.0,212.0,,2338540.0,5.9,225.5,0.0,0.0,0.858,849.0
blasted_TR_b12_even7_linear,38.0,28088.0,0.0,443.0,,2012492.0,19.5,2271.3,0.0,0.0,0.939,8633.0
blasted_case27,27313.0,146.0,2275.0,13.0,1024,2000206.0,41.3,41.5,5.87876975787,2000009.0,0.778,52.0
blasted_case131,69.0,1830.0,1.0,36.0,6174015488,2041900.0,3.5,154.0,45720.547461,22308.0,0.914,432.0
blasted_case_1_b14_3,39.0,941.0,0.0,40.0,137438953472,2118616.0,2.8,75.0,42146.1005252,30998.0,0.976,304.0
blasted_case24,101726.0,190.0,7824.0,14.0,256,2000059.0,1098.9,1099.3,0.251256363807,2000009.0,0.421,65.0
blasted_squaring9,64.0,5028.0,0.0,72.0,274408144896,2338540.0,4.4,483.6,124986.360855,6534.0,0.96,1434.0
blasted_case210,37.0,2937.0,0.0,83.0,1208925819614629174706176,2007328.0,3.5,215.2,0.0,0.0,1.0,872.0
blasted_case145,37.0,558.0,0.0,64.0,70368744177664,2007328.0,2.9,48.3,3507175.7546,363.0,1.0,219.0
blasted_case_1_b12_even2,36.0,8460.0,0.0,147.0,,2007328.0,4.8,680.1,0.0,0.0,1.0,2669.0
blasted_case_2_b12_2,40.0,2725.0,0.0,45.0,274877906944,2099995.0,4.1,271.7,39762.9757267,21835.0,0.748,827.0
blasted_case_2_b12_even3,36.0,13049.0,0.0,263.0,,2007328.0,6.5,1034.4,0.0,0.0,1.0,4157.0
blasted_case51,1139.0,395.0,56.0,21.0,262144,2001948.0,3.4,8.1,462.549956346,2000009.0,0.952,132.0
blasted_TR_b14_even3_linear,0.0,28200.0,0.0,540.0,,1.0,,,,0.0,0.0,8809.0
blasted_squaring28,269.0,3839.0,4.0,61.0,79888860,2026199.0,21.7,566.8,17278.7442918,9592.0,0.501,1060.0
blasted_TR_b12_1_linear,52.0,6619.0,0.0,99.0,,2338540.0,5.2,671.3,0.0,0.0,1.0,1914.0
blasted_case34,39.0,1597.0,0.0,39.0,68719476736,2007328.0,3.0,135.8,45939.5100339,26213.0,0.993,409.0
blasted_case40,38.0,650.0,0.0,65.0,36028797018963968,2007328.0,3.7,65.3,0.0,0.0,1.0,245.0
blasted_squaring30,262.0,3693.0,4.0,61.0,79888860,2001200.0,16.2,462.1,25931.453001,8591.0,0.608,1031.0
blasted_case_3_4_b14_even,36.0,4761.0,0.0,141.0,,2007328.0,4.5,380.7,0.0,0.0,1.0,1532.0
blasted_case_2_b12_even1,38.0,8492.0,0.0,150.0,,2007328.0,4.9,634.7,0.0,0.0,1.0,2681.0
blasted_case_2_b14_2,39.0,805.0,0.0,43.0,1099511627776,2007328.0,2.8,67.7,35701.4067796,35926.0,1.0,270.0
blasted_case136,39.0,615.0,0.0,42.0,549755813888,2338540.0,2.9,47.8,16239140.5966,88.0,0.996,211.0
blasted_squaring23,639.0,2268.0,10.0,61.0,8388608,2008708.0,12.8,204.6,13784.5276094,20405.0,0.716,710.0
blasted_TR_b14_1_linear,38.0,3950.0,0.0,204.0,,2222515.0,27.0,1239.4,0.0,0.0,0.203,1287.0
blasted_case_1_b11_1,46.0,1026.0,0.0,48.0,274877906432,2338540.0,3.5,96.9,36435.475252,27874.0,0.847,340.0
blasted_case20,39.0,1126.0,0.0,69.0,73786976294838206464,2368189.0,3.5,97.3,0.0,0.0,0.935,397.0
blasted_case1_b14_even3,38.0,4093.0,0.0,125.0,,2007328.0,4.1,329.0,0.0,0.0,1.0,1318.0
blasted_squaring10,67.0,3632.0,0.0,72.0,274408144896,2350256.0,19.1,967.6,25404.3478243,7414.0,0.24,1099.0
blasted_case_2_b12_1,106.0,1385.0,2.0,37.0,1073741824,2106630.0,3.6,123.4,31970.1489053,31119.0,0.856,427.0
blasted_case200,766281.0,42.0,191569.0,5.0,4,838077.0,4848.3,4848.5,0.0,0.0,0.886,14.0
blasted_case_2_ptb_2,36.0,9498.0,0.0,80.0,,2007328.0,4.3,699.3,0.0,0.0,1.0,2848.0
blasted_case128,218977.0,104.0,27371.0,9.0,64,2000000.0,527.3,527.5,0.447251697287,2000009.0,0.786,36.0
blasted_case29,100347.0,190.0,7718.0,14.0,256,2000051.0,1073.7,1074.1,0.258082201629,2000009.0,0.416,65.0
blasted_case118,3316.0,1367.0,194.0,18.0,32768,2000889.0,20.9,24.2,71.6045070323,2000009.0,0.836,309.0
blasted_case120,53.0,851.0,0.0,61.0,70368744177664,2248670.0,8.4,164.8,322830.96642,1342.0,0.515,284.0
blasted_case62,94.0,1165.0,2.0,33.0,1073741824,2014346.0,3.7,99.4,54778.2218121,17974.0,0.929,291.0
blasted_case59,3134.0,285.0,174.0,19.0,35328,2003517.0,8.7,10.7,67.1347016542,2000009.0,0.638,93.0
blasted_squaring70,41.0,2663.0,0.0,100.0,,2281743.0,16.1,680.6,0.0,0.0,0.32,882.0
blasted_case105,37.0,407.0,0.0,59.0,2199023255552,2007328.0,4.4,49.6,53768.4534338,15103.0,0.896,170.0
blasted_TR_b14_even_linear,0.0,28200.0,0.0,540.0,,1.0,,,,0.0,0.0,8809.0
blasted_case_2_ptb_1,36.0,3027.0,0.0,80.0,,2007328.0,4.4,256.1,0.0,0.0,1.0,963.0
blasted_squaring21,640.0,2203.0,10.0,61.0,8388608,2021400.0,17.8,272.7,11612.6058472,17380.0,0.651,697.0
blasted_squaring51,202.0,1947.0,4.0,42.0,16777216,2017575.0,21.0,459.6,4882.01599162,35200.0,0.279,496.0
blasted_squaring41,0.0,13599.0,0.0,349.0,,1.0,,,,0.0,0.0,4185.0
blasted_case110,4544.0,1263.0,283.0,17.0,16384,2001324.0,22.5,24.0,54.4111689133,2000009.0,0.835,287.0
blasted_case124,122.0,386.0,4.0,31.0,268435456,2051989.0,3.3,43.9,29218.505077,37686.0,0.913,133.0
blasted_case9,37.0,753.0,0.0,67.0,562949953421312,2007328.0,4.9,90.2,12211429.9332,66.0,1.0,279.0
