,calls,clauses,epochs,ind_vars,models,samples,time,time*,tu/tq,ug_samples,valid,vars
blasted_case47,7235.0,328.0,267.0,28.0,262144.0,10006004.0,7.3,16.5,514.0,882827.0,0.607,118.0
blasted_case110,23042.0,1263.0,1440.0,17.0,16384.0,10000186.0,23.4,23.9,46.0,3033041.0,0.835,287.0
s820a_7_4,3455.0,1703.0,143.0,23.0,591872.0,10005763.0,6.9,28.0,759.0,626538.0,0.809,616.0
s820a_15_7,3094.0,1987.0,128.0,23.0,722944.0,10000853.0,7.8,45.5,850.0,495836.0,0.727,685.0
s1238a_3_2,328.0,1850.0,9.0,32.0,2466250752.0,10116002.0,3.4,200.2,59275.0,16302.0,0.915,686.0
s1196a_3_2,386.0,1805.0,11.0,32.0,1038090240.0,10007402.0,3.8,207.3,39257.0,22110.0,0.826,690.0
s832a_15_7,2063.0,2017.0,85.0,23.0,3713024.0,10008371.0,5.6,86.8,4834.0,122276.0,0.813,693.0
blasted_case_1_b12_2,121.0,2725.0,2.0,45.0,274877906944.0,10039060.0,4.5,260.8,36762.0,19899.0,0.823,827.0
blasted_squaring16,61.0,5835.0,0.0,72.0,1865275930882.0,10671382.0,19.4,1265.0,116830.0,1463.0,0.25,1627.0
blasted_squaring7,250.0,5837.0,3.0,72.0,274408144896.0,10122013.0,8.5,731.5,63478.0,6116.0,0.623,1628.0
70.sk_3_40,304.0,15864.0,8.0,40.0,8589934592.0,10134785.0,15.8,1220.6,24979.0,8360.0,0.365,4670.0
ProcessBean.sk_8_64,98.0,14458.0,1.0,64.0,,10081716.0,12.7,1238.2,34611.0,7524.0,0.371,4768.0
56.sk_6_38,336.0,17828.0,10.0,38.0,3690987520.0,10148125.0,9.3,808.8,37908.0,9383.0,0.519,4842.0
35.sk_3_52,95.0,10547.0,2.0,52.0,4398046511104.0,10717156.0,3.8,279.1,115962.0,7612.0,1.0,4915.0
80.sk_2_48,126.0,17060.0,2.0,48.0,1099511627776.0,10252598.0,13.8,1336.3,43694.0,5478.0,0.325,4969.0
7.sk_4_50,124.0,24816.0,2.0,50.0,2199023255552.0,10139607.0,23.6,1788.5,41648.0,4136.0,0.216,6683.0
doublyLinkedList.sk_8_37,3748.0,26918.0,116.0,37.0,2038431744.0,10016007.0,2751.5,6050.2,0.0,0.0,0.038,6890.0
19.sk_3_48,90.0,23867.0,1.0,48.0,2959802892288.0,10291254.0,21.8,1846.9,64524.0,2343.0,0.208,6993.0
29.sk_3_45,113.0,31557.0,2.0,45.0,347892350976.0,10000333.0,44.6,2634.6,108459.0,1012.0,0.132,8866.0
isolateRightmost.sk_7_481,59.0,35275.0,0.0,481.0,,10412010.0,54.6,2734.1,0.0,0.0,0.188,10057.0
17.sk_3_45,157.0,27056.0,3.0,45.0,274877906944.0,10181716.0,29.1,2046.2,413272.0,275.0,0.192,10090.0
81.sk_5_51,52.0,38006.0,1.0,51.0,18141941858304.0,11231245.0,43.5,3198.7,135036.0,946.0,0.116,10775.0
LoginService2.sk_23_36,6196.0,41411.0,280.0,36.0,,10003777.0,2339.2,3550.8,11.0,120824.0,0.083,11511.0
sort.sk_8_52,105.0,49611.0,2.0,52.0,,10247264.0,142.9,6273.4,43825.0,704.0,0.086,12125.0
77.sk_3_44,250.0,27573.0,6.0,44.0,18253611008,10017271.0,26.1,1712.9,136145.0,935.0,0.248,14535.0
20.sk_1_51,52.0,60994.0,1.0,51.0,37108517437440,10405860.0,45.4,3370.7,305342.0,286.0,0.119,15475.0
