,calls,clauses,epochs,ind_vars,models,samples,time,time*,tu/tq,ug_samples,valid,vars
uClinux-config,64.0,31637.0,0.0,0.0,7780282347582666916383256525305848268983388653773604443522724031173853171741350594741933711614492676688024705667255837733502753004263416838313034391491978486251776346951575311035705022431463136163671302414562327132408269309241241919789018483288275016458309681886328452290746870938593939271535287735536730704699149530524986444246253774862429009330952716954822585345411917760300627575906229678240454357811200000000000000,1149017.0,193.5,11548.7,0.0,0.0,1.0,11254.0
toybox,36.0,1020.0,0.0,68.0,144991790900969472,1021556.0,3.7,59.3,0.0,0.0,0.895,544.0
embtoolkit,0.0,0.0,0.0,0.0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coreboot,80.0,47091.0,0.0,0.0,14017448843572825750122771812482745558507603463493126779853857125177639606854445429057126400000,1149017.0,2640.0,30019.9,0.0,0.0,0.144,12268.0
busybox-1.18.0,64.0,17836.0,0.0,0.0,8499026160620020403367645609748828077599547731944348313212511374919300627064386211679237748086064676313113142858080550738779241823829059380356178815074465955879778303194438133158537394351918302936170496000000000000000,1149017.0,113.2,5098.2,0.0,0.0,0.725,6796.0
axTLS,70.0,2155.0,0.0,0.0,428726493299198656512,1098865.0,30.1,581.9,0.0,0.0,0.386,684.0
2.6.28.6-icse11,33.0,343944.0,0.0,0.0,,1089245.0,1124.9,31766.0,0.0,0.0,0.13,6888.0
fiasco,86.0,5228.0,0.0,0.0,358108536766464,1080270.0,639.1,9715.6,0.0,0.0,0.047,1638.0
uClinux,64.0,2468.0,0.0,0.0,16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1149017.0,21.3,358.9,0.0,0.0,1.0,1850.0
freetz,0.0,102705.0,0.0,0.0,,1.0,83110.2,183603.2,0.0,0.0,43316.0,31012.0
toybox2,37.0,1020.0,0.0,68.0,144991790900969472,1129007.0,3.6,59.2,0.0,0.0,0.892,544.0
buildroot,64.0,45603.0,0.0,0.0,,1085562.0,2619.5,31226.5,0.0,0.0,0.14,14910.0
ecos-icse11,63.0,3146.0,0.0,0.0,497468225710631621747603296699889033272954921819172253991278234562183327622958116060862179163892950611831327207015661220531400,1173038.0,24.6,987.5,0.0,0.0,0.816,1244.0
2.6.33.3-2var,0.0,273799.0,0.0,0.0,,1.0,,,,0.0,0.0,62482.0
freebsd-icse11,35.0,62183.0,0.0,0.0,83886659159476632821541475613464069971455248240210165215206910546316039002578163924733183958961850461592499728860512499646694699896858084846315191127880690298864146465525305530548618667350438052715195430386302733558963694885445788093958348206554206489857614603328350179806026419578557906399092376441611878400000000,1152001.0,75.6,8228.4,0.0,0.0,0.402,1396.0
2.6.32-2var,0.0,268223.0,0.0,0.0,,1.0,,,,0.0,0.0,60072.0
